"Lat,Long",Kecamatan 
"@-6.9620036,106.9331247,15z","Baros, Kota Sukabumi" 
"@-6.9393965,106.9261748,14z","Cibeureum, Kota Sukabumi" 
"@-6.9123864,106.9294576,16z","Cikole, Kota Sukabumi" 
"@-6.9376341,106.9206272,15z","Citamiang, Kota Sukabumi" 
"@-6.9143398,106.9114956,16z","Gunungpuyuh, Kota Sukabumi" 
"@-6.9661325,106.8748407,15z","Lembursitu, Kota Sukabumi" 
"@-6.932062,106.8934604,14z","Warudoyong, Kota Sukabumi" 
"@-6.9881005,106.6374922,12z","Warung Kiara, Kabupaten Sukabumi" 
"@-7.2125229,106.5194802,12z","Waluran, Kabupaten Sukabumi" 
"@-7.3442752,106.6476737,12z","Tegalbuleud, Kabupaten Sukabumi" 
"@-7.3313838,106.4666196,12z","Surade, Kabupaten Sukabumi" 
"@-6.8720896,106.9339729,13z","Sukaraja, Kabupaten Sukabumi" 
"@-6.8682671,106.9752804,13z","Sukalarang, Kabupaten Sukabumi" 
"@-6.84932,106.9141054,13z","Sukabumi, Kabupaten Sukabumi" 
"@-7.0892599,106.5056667,12z","Simpenan, Kabupaten Sukabumi" 
"@-7.1958473,106.7824377,12z","Sagaranten, Kabupaten Sukabumi" 
"@-7.0977418,106.8064122,12z","Purabaya, Kabupaten Sukabumi" 
"@-6.835214,106.7037303,13z","Parungkuda, Kabupaten Sukabumi" 
"@-6.7856875,106.6673582,13z","Parakansalak, Kabupaten Sukabumi" 
"@-6.977538,106.4917301,12z","Palabuhanratu, Kabupaten Sukabumi" 
"@-7.1974493,106.7065326,12z","Pabuaran, Kabupaten Sukabumi" 
"@-7.0250804,106.8333481,12z","Nyalindung, Kabupaten Sukabumi" 
"@-6.8312231,106.7722141,12z","Nagrak, Kabupaten Sukabumi" 
"@-7.1186829,106.6091102,12z","Lengkong, Kabupaten Sukabumi" 
"@-6.946655,106.9467788,14z","Kebonpedes, Kabupaten Sukabumi" 
"@-7.2368629,106.6802263,13z","Kalibunder, Kabupaten Sukabumi" 
"@-6.810097,106.6248764,13z","Kalapanunggal, Kabupaten Sukabumi" 
"@-6.8275765,106.8907668,13z","Kadudampit, Kabupaten Sukabumi" 
"@-6.784351,106.5213292,12z","Kabandungan, Kabupaten Sukabumi" 
"@-7.063558,106.6999736,12z","Jampang Tengah, Kabupaten Sukabumi" 
"@-7.2412722,106.5533666,12z","Jampang Kulon, Kabupaten Sukabumi" 
"@-6.9534019,106.8722783,14z","Gunungguruh, Kabupaten Sukabumi" 
"@-6.9944425,106.9603538,13z","Gegerbitung, Kabupaten Sukabumi" 
"@-7.2122229,106.9118044,14z","Curugkembar, Kabupaten Sukabumi" 
"@-6.8732015,106.3900572,12z","Cisolok, Kabupaten Sukabumi" 
"@-6.938291,106.9837299,13z","Cireunghas, Kabupaten Sukabumi" 
"@-7.3238262,106.3803507,12z","Ciracap, Kabupaten Sukabumi" 
"@-7.2259555,106.6387324,13z","Cimanggu, Kabupaten Sukabumi" 
"@-6.886951,106.5525567,12z","Cikidang, Kabupaten Sukabumi" 
"@-6.9710835,106.7068196,12z","Cikembar, Kabupaten Sukabumi" 
"@-6.8937865,106.4537897,12z","Cikakak, Kabupaten Sukabumi" 
"@-7.2084423,106.4010182,12z","Ciemas, Kabupaten Sukabumi" 
"@-7.2994183,106.7769992,12z","Cidolog, Kabupaten Sukabumi" 
"@-6.76242,106.6929374,13z","Cidahu, Kabupaten Sukabumi" 
"@-7.2979378,106.8288852,12z","Cidadap, Kabupaten Sukabumi" 
"@-6.7646141,106.7174297,12z","Cicurug, Kabupaten Sukabumi" 
"@-6.9171021,106.7864734,13z","Cicantayan, Kabupaten Sukabumi" 
"@-7.3631505,106.5924554,13z","Cibitung, Kabupaten Sukabumi" 
"@-6.8952415,106.6875326,12z","Cibadak, Kabupaten Sukabumi" 
"@-6.8266366,106.7585102,12z","Ciambar, Kabupaten Sukabumi" 
"@-6.835712,106.8427349,13z","Caringin, Kabupaten Sukabumi" 
"@-6.8279,106.6806793,13z","Bojonggenteng, Kabupaten Sukabumi" 
"@-6.9750565,106.6222609,13z","Bantargadung, Kabupaten Sukabumi" 